lab,in_ch,out_ch,linkage
1,1,1,False
1,2,1,False
1,3,1,False
1,4,1,False
1,5,1,False
2,1,2,False
2,2,2,False
2,3,2,False
2,4,2,False
2,5,2,False
3,1,3,False
3,2,3,False
3,3,3,False
3,4,3,False
3,5,3,False
4,1,4,False
4,2,4,False
4,3,4,False
4,4,4,False
4,5,4,False
5,1,5,False
5,2,5,False
5,3,5,False
5,4,5,False
5,5,5,False
6,1,6,False
6,2,6,False
6,3,6,False
6,4,6,False
6,5,6,False
7,1,7,False
7,2,7,False
7,3,7,False
7,4,7,False
7,5,7,False
8,1,8,False
8,2,8,False
8,3,8,False
8,4,8,False
8,5,8,False
9,1,9,False
9,2,9,False
9,3,9,False
9,4,9,False
9,5,9,False
10,1,10,False
10,2,10,False
10,3,10,False
10,4,10,False
10,5,10,False
11,1,11,False
11,2,11,False
11,3,11,False
11,4,11,False
11,5,11,False
12,1,12,False
12,2,12,False
12,3,12,False
12,4,12,False
12,5,12,False
13,1,13,False
13,2,13,False
13,3,13,False
13,4,13,False
13,5,13,False
14,1,14,False
14,2,14,False
14,3,14,False
14,4,14,False
14,5,14,False
15,1,15,False
15,2,15,False
15,3,15,False
15,4,15,False
15,5,15,False
16,1,16,True
16,2,16,True
16,3,16,True
16,4,16,True
16,5,16,True
