lab,in_ch,out_ch,linkage
1,1,1,True
1,2,1,True
1,3,1,True
1,4,1,True
2,1,2,False
2,2,2,False
2,3,2,False
2,4,2,False
3,1,3,False
3,2,3,False
3,3,3,False
3,4,3,False
4,1,4,False
4,2,4,False
4,3,4,False
4,4,4,False
5,1,5,False
5,2,5,False
5,3,5,False
5,4,5,False
6,1,6,False
6,2,6,False
6,3,6,False
6,4,6,False
7,1,7,False
7,2,7,False
7,3,7,False
7,4,7,False
8,1,8,False
8,2,8,False
8,3,8,False
8,4,8,False
9,5,1,True
9,6,1,True
9,7,1,True
9,8,1,True
10,5,2,False
10,6,2,False
10,7,2,False
10,8,2,False
11,5,3,False
11,6,3,False
11,7,3,False
11,8,3,False
12,5,4,False
12,6,4,False
12,7,4,False
12,8,4,False
13,5,5,False
13,6,5,False
13,7,5,False
13,8,5,False
14,5,6,False
14,6,6,False
14,7,6,False
14,8,6,False
15,5,7,False
15,6,7,False
15,7,7,False
15,8,7,False
16,5,8,False
16,6,8,False
16,7,8,False
16,8,8,False
